,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
66245,66246,Merry Wives of Windsor,41.0,,MISTRESS PAGE,Re-enter MISTRESS FORD with two Servants
66246,66247,Merry Wives of Windsor,42.0,4.2.93,MISTRESS FORD,"Go, sirs, take the basket again on your shoulders:"
66247,66248,Merry Wives of Windsor,42.0,4.2.94,MISTRESS FORD,"your master is hard at door, if he bid you set it"
66248,66249,Merry Wives of Windsor,42.0,4.2.95,MISTRESS FORD,"down, obey him: quickly, dispatch."
66249,66250,Merry Wives of Windsor,42.0,,MISTRESS FORD,Exit
66250,66251,Merry Wives of Windsor,43.0,4.2.96,First Servant,"Come, come, take it up."
66251,66252,Merry Wives of Windsor,44.0,4.2.97,Second Servant,Pray heaven it be not full of knight again.
66252,66253,Merry Wives of Windsor,45.0,4.2.98,First Servant,"I hope not, I had as lief bear so much lead."
66253,66254,Merry Wives of Windsor,45.0,,First Servant,"Enter FORD, PAGE, SHALLOW, DOCTOR CAIUS, and SIR HUGH EVANS"
66254,66255,Merry Wives of Windsor,46.0,4.2.99,FORD,"Ay, but if it prove true, Master Page, have you any"
66255,66256,Merry Wives of Windsor,46.0,4.2.100,FORD,"way then to unfool me again? Set down the basket,"
66256,66257,Merry Wives of Windsor,46.0,4.2.101,FORD,villain! Somebody call my wife. Youth in a basket!
66257,66258,Merry Wives of Windsor,46.0,4.2.102,FORD,"O you panderly rascals! there's a knot, a ging, a"
66258,66259,Merry Wives of Windsor,46.0,4.2.103,FORD,"pack, a conspiracy against me: now shall the devil"
66259,66260,Merry Wives of Windsor,46.0,4.2.104,FORD,"be shamed. What, wife, I say! Come, come forth!"
66260,66261,Merry Wives of Windsor,46.0,4.2.105,FORD,Behold what honest clothes you send forth to bleaching!
66261,66262,Merry Wives of Windsor,47.0,4.2.106,PAGE,"Why, this passes, Master Ford, you are not to go"
66262,66263,Merry Wives of Windsor,47.0,4.2.107,PAGE,"loose any longer, you must be pinioned."
66263,66264,Merry Wives of Windsor,48.0,4.2.108,SIR HUGH EVANS,"Why, this is lunatics! this is mad as a mad dog!"
66264,66265,Merry Wives of Windsor,49.0,4.2.109,SHALLOW,"Indeed, Master Ford, this is not well, indeed."
66265,66266,Merry Wives of Windsor,50.0,4.2.110,FORD,"So say I too, sir."
66266,66267,Merry Wives of Windsor,50.0,,FORD,Re-enter MISTRESS FORD
66267,66268,Merry Wives of Windsor,50.0,4.2.111,FORD,"Come hither, Mistress Ford, Mistress Ford the honest"
66268,66269,Merry Wives of Windsor,50.0,4.2.112,FORD,"woman, the modest wife, the virtuous creature, that"
66269,66270,Merry Wives of Windsor,50.0,4.2.113,FORD,hath the jealous fool to her husband! I suspect
66270,66271,Merry Wives of Windsor,50.0,4.2.114,FORD,"without cause, mistress, do I?"
66271,66272,Merry Wives of Windsor,51.0,4.2.115,MISTRESS FORD,"Heaven be my witness you do, if you suspect me in"
66272,66273,Merry Wives of Windsor,51.0,4.2.116,MISTRESS FORD,any dishonesty.
66273,66274,Merry Wives of Windsor,52.0,4.2.117,FORD,"Well said, brazen-face! hold it out. Come forth, sirrah!"
66274,66275,Merry Wives of Windsor,52.0,,FORD,Pulling clothes out of the basket
66275,66276,Merry Wives of Windsor,53.0,4.2.118,PAGE,This passes!
66276,66277,Merry Wives of Windsor,54.0,4.2.119,MISTRESS FORD,Are you not ashamed? let the clothes alone.
66277,66278,Merry Wives of Windsor,55.0,4.2.120,FORD,I shall find you anon.
66278,66279,Merry Wives of Windsor,56.0,4.2.121,SIR HUGH EVANS,'Tis unreasonable! Will you take up your wife's
66279,66280,Merry Wives of Windsor,56.0,4.2.122,SIR HUGH EVANS,clothes? Come away.
66280,66281,Merry Wives of Windsor,57.0,4.2.123,FORD,"Empty the basket, I say!"
66281,66282,Merry Wives of Windsor,58.0,4.2.124,MISTRESS FORD,"Why, man, why?"
66282,66283,Merry Wives of Windsor,59.0,4.2.125,FORD,"Master Page, as I am a man, there was one conveyed"
66283,66284,Merry Wives of Windsor,59.0,4.2.126,FORD,out of my house yesterday in this basket: why may
66284,66285,Merry Wives of Windsor,59.0,4.2.127,FORD,not he be there again? In my house I am sure he is:
66285,66286,Merry Wives of Windsor,59.0,4.2.128,FORD,"my intelligence is true, my jealousy is reasonable."
66286,66287,Merry Wives of Windsor,59.0,4.2.129,FORD,Pluck me out all the linen.
66287,66288,Merry Wives of Windsor,60.0,4.2.130,MISTRESS FORD,"If you find a man there, he shall die a flea's death."
66288,66289,Merry Wives of Windsor,61.0,4.2.131,PAGE,Here's no man.
66289,66290,Merry Wives of Windsor,62.0,4.2.132,SHALLOW,"By my fidelity, this is not well, Master Ford, this"
66290,66291,Merry Wives of Windsor,62.0,4.2.133,SHALLOW,wrongs you.
66291,66292,Merry Wives of Windsor,63.0,4.2.134,SIR HUGH EVANS,"Master Ford, you must pray, and not follow the"
66292,66293,Merry Wives of Windsor,63.0,4.2.135,SIR HUGH EVANS,imaginations of your own heart: this is jealousies.
66293,66294,Merry Wives of Windsor,64.0,4.2.136,FORD,"Well, he's not here I seek for."
66294,66295,Merry Wives of Windsor,65.0,4.2.137,PAGE,"No, nor nowhere else but in your brain."
66295,66296,Merry Wives of Windsor,66.0,4.2.138,FORD,Help to search my house this one time. If I find
66296,66297,Merry Wives of Windsor,66.0,4.2.139,FORD,"not what I seek, show no colour for my extremity, let"
66297,66298,Merry Wives of Windsor,66.0,4.2.140,FORD,"me for ever be your table-sport, let them say of"
66298,66299,Merry Wives of Windsor,66.0,4.2.141,FORD,"me, 'As jealous as Ford, Chat searched a hollow"
66299,66300,Merry Wives of Windsor,66.0,4.2.142,FORD,"walnut for his wife's leman.' Satisfy me once more,"
66300,66301,Merry Wives of Windsor,66.0,4.2.143,FORD,once more search with me.
66301,66302,Merry Wives of Windsor,67.0,4.2.144,MISTRESS FORD,"What, ho, Mistress Page! come you and the old woman"
66302,66303,Merry Wives of Windsor,67.0,4.2.145,MISTRESS FORD,"down, my husband will come into the chamber."
66303,66304,Merry Wives of Windsor,68.0,4.2.146,FORD,Old woman! what old woman's that?
66304,66305,Merry Wives of Windsor,69.0,4.2.147,MISTRESS FORD,"Nay, it is my maid's aunt of Brentford."
66305,66306,Merry Wives of Windsor,70.0,4.2.148,FORD,"A witch, a quean, an old cozening quean! Have I not"
66306,66307,Merry Wives of Windsor,70.0,4.2.149,FORD,"forbid her my house? She comes of errands, does"
66307,66308,Merry Wives of Windsor,70.0,4.2.150,FORD,"she? We are simple men, we do not know what's"
66308,66309,Merry Wives of Windsor,70.0,4.2.151,FORD,brought to pass under the profession of
66309,66310,Merry Wives of Windsor,70.0,4.2.152,FORD,"fortune-telling. She works by charms, by spells,"
66310,66311,Merry Wives of Windsor,70.0,4.2.153,FORD,"by the figure, and such daubery as this is, beyond"
66311,66312,Merry Wives of Windsor,70.0,4.2.154,FORD,"our element we know nothing. Come down, you witch,"
66312,66313,Merry Wives of Windsor,70.0,4.2.155,FORD,"you hag, you, come down, I say!"
66313,66314,Merry Wives of Windsor,71.0,4.2.156,MISTRESS FORD,"Nay, good, sweet husband! Good gentlemen, let him"
66314,66315,Merry Wives of Windsor,71.0,4.2.157,MISTRESS FORD,not strike the old woman.
66315,66316,Merry Wives of Windsor,71.0,,MISTRESS FORD,"Re-enter FALSTAFF in woman's clothes, and MISTRESS PAGE"
66316,66317,Merry Wives of Windsor,72.0,4.2.158,MISTRESS PAGE,"Come, Mother Prat, come, give me your hand."
66317,66318,Merry Wives of Windsor,73.0,4.2.159,FORD,I'll prat her.
66318,66319,Merry Wives of Windsor,73.0,,FORD,Beating him
66319,66320,Merry Wives of Windsor,73.0,4.2.160,FORD,"Out of my door, you witch, you hag, you baggage, you"
66320,66321,Merry Wives of Windsor,73.0,4.2.161,FORD,"polecat, you runyon! out, out! I'll conjure you,"
66321,66322,Merry Wives of Windsor,73.0,4.2.162,FORD,I'll fortune-tell you.
66322,66323,Merry Wives of Windsor,73.0,,FORD,Exit FALSTAFF
66323,66324,Merry Wives of Windsor,74.0,4.2.163,MISTRESS PAGE,Are you not ashamed? I think you have killed the
66324,66325,Merry Wives of Windsor,74.0,4.2.164,MISTRESS PAGE,poor woman.
66325,66326,Merry Wives of Windsor,75.0,4.2.165,MISTRESS FORD,"Nay, he will do it. 'Tis a goodly credit for you."
66326,66327,Merry Wives of Windsor,76.0,4.2.166,FORD,"Hang her, witch!"
66327,66328,Merry Wives of Windsor,77.0,4.2.167,SIR HUGH EVANS,"By the yea and no, I think the 'oman is a witch"
66328,66329,Merry Wives of Windsor,77.0,4.2.168,SIR HUGH EVANS,"indeed: I like not when a 'oman has a great peard,"
66329,66330,Merry Wives of Windsor,77.0,4.2.169,SIR HUGH EVANS,I spy a great peard under his muffler.
66330,66331,Merry Wives of Windsor,78.0,4.2.170,FORD,"Will you follow, gentlemen? I beseech you, follow,"
66331,66332,Merry Wives of Windsor,78.0,4.2.171,FORD,see but the issue of my jealousy: if I cry out thus
66332,66333,Merry Wives of Windsor,78.0,4.2.172,FORD,"upon no trail, never trust me when I open again."
66333,66334,Merry Wives of Windsor,79.0,4.2.173,PAGE,"Let's obey his humour a little further: come,"
66334,66335,Merry Wives of Windsor,79.0,4.2.174,PAGE,gentlemen.
66335,66336,Merry Wives of Windsor,79.0,,PAGE,"Exeunt FORD, PAGE, SHALLOW, DOCTOR CAIUS, and SIR HUGH EVANS"
66336,66337,Merry Wives of Windsor,80.0,4.2.175,MISTRESS PAGE,"Trust me, he beat him most pitifully."
66337,66338,Merry Wives of Windsor,81.0,4.2.176,MISTRESS FORD,"Nay, by the mass, that he did not, he beat him most"
66338,66339,Merry Wives of Windsor,81.0,4.2.177,MISTRESS FORD,"unpitifully, methought."
66339,66340,Merry Wives of Windsor,82.0,4.2.178,MISTRESS PAGE,I'll have the cudgel hallowed and hung o'er the
66340,66341,Merry Wives of Windsor,82.0,4.2.179,MISTRESS PAGE,"altar, it hath done meritorious service."
66341,66342,Merry Wives of Windsor,83.0,4.2.180,MISTRESS FORD,"What think you? may we, with the warrant of"
66342,66343,Merry Wives of Windsor,83.0,4.2.181,MISTRESS FORD,"womanhood and the witness of a good conscience,"
66343,66344,Merry Wives of Windsor,83.0,4.2.182,MISTRESS FORD,pursue him with any further revenge?
66344,66345,Merry Wives of Windsor,84.0,4.2.183,MISTRESS PAGE,"The spirit of wantonness is, sure, scared out of"
66345,66346,Merry Wives of Windsor,84.0,4.2.184,MISTRESS PAGE,"him: if the devil have him not in fee-simple, with"
66346,66347,Merry Wives of Windsor,84.0,4.2.185,MISTRESS PAGE,"fine and recovery, he will never, I think, in the"
66347,66348,Merry Wives of Windsor,84.0,4.2.186,MISTRESS PAGE,"way of waste, attempt us again."
66348,66349,Merry Wives of Windsor,85.0,4.2.187,MISTRESS FORD,Shall we tell our husbands how we have served him?
66349,66350,Merry Wives of Windsor,86.0,4.2.188,MISTRESS PAGE,"Yes, by all means, if it be but to scrape the"
66350,66351,Merry Wives of Windsor,86.0,4.2.189,MISTRESS PAGE,figures out of your husband's brains. If they can
66351,66352,Merry Wives of Windsor,86.0,4.2.190,MISTRESS PAGE,find in their hearts the poor unvirtuous fat knight
66352,66353,Merry Wives of Windsor,86.0,4.2.191,MISTRESS PAGE,"shall be any further afflicted, we two will still be"
66353,66354,Merry Wives of Windsor,86.0,4.2.192,MISTRESS PAGE,the ministers.
66354,66355,Merry Wives of Windsor,87.0,4.2.193,MISTRESS FORD,I'll warrant they'll have him publicly shamed: and
66355,66356,Merry Wives of Windsor,87.0,4.2.194,MISTRESS FORD,"methinks there would be no period to the jest,"
66356,66357,Merry Wives of Windsor,87.0,4.2.195,MISTRESS FORD,should he not be publicly shamed.
66357,66358,Merry Wives of Windsor,88.0,4.2.196,MISTRESS PAGE,"Come, to the forge with it then, shape it: I would"
66358,66359,Merry Wives of Windsor,88.0,4.2.197,MISTRESS PAGE,not have things cool.
66359,66360,Merry Wives of Windsor,88.0,,MISTRESS PAGE,Exeunt
66360,66361,Merry Wives of Windsor,88.0,,MISTRESS PAGE,SCENE III. A room in the Garter Inn.
66361,66362,Merry Wives of Windsor,88.0,,MISTRESS PAGE,Enter Host and BARDOLPH
66362,66363,Merry Wives of Windsor,1.0,4.3.1,BARDOLPH,"Sir, the Germans desire to have three of your"
66363,66364,Merry Wives of Windsor,1.0,4.3.2,BARDOLPH,horses: the duke himself will be to-morrow at
66364,66365,Merry Wives of Windsor,1.0,4.3.3,BARDOLPH,"court, and they are going to meet him."
66365,66366,Merry Wives of Windsor,2.0,4.3.4,Host,What duke should that be comes so secretly? I hear
