,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
58430,58431,Measure for measure,9.0,1.1.61,DUKE VINCENTIO,"How it goes with us, and do look to know"
58431,58432,Measure for measure,9.0,1.1.62,DUKE VINCENTIO,"What doth befall you here. So, fare you well,"
58432,58433,Measure for measure,9.0,1.1.63,DUKE VINCENTIO,To the hopeful execution do I leave you
58433,58434,Measure for measure,9.0,1.1.64,DUKE VINCENTIO,Of your commissions.
58434,58435,Measure for measure,10.0,1.1.65,ANGELO,"Yet give leave, my lord,"
58435,58436,Measure for measure,10.0,1.1.66,ANGELO,That we may bring you something on the way.
58436,58437,Measure for measure,11.0,1.1.67,DUKE VINCENTIO,"My haste may not admit it,"
58437,58438,Measure for measure,11.0,1.1.68,DUKE VINCENTIO,"Nor need you, on mine honour, have to do"
58438,58439,Measure for measure,11.0,1.1.69,DUKE VINCENTIO,"With any scruple, your scope is as mine own"
58439,58440,Measure for measure,11.0,1.1.70,DUKE VINCENTIO,So to enforce or qualify the laws
58440,58441,Measure for measure,11.0,1.1.71,DUKE VINCENTIO,As to your soul seems good. Give me your hand:
58441,58442,Measure for measure,11.0,1.1.72,DUKE VINCENTIO,"I'll privily away. I love the people,"
58442,58443,Measure for measure,11.0,1.1.73,DUKE VINCENTIO,But do not like to stage me to their eyes:
58443,58444,Measure for measure,11.0,1.1.74,DUKE VINCENTIO,"Through it do well, I do not relish well"
58444,58445,Measure for measure,11.0,1.1.75,DUKE VINCENTIO,"Their loud applause and Aves vehement,"
58445,58446,Measure for measure,11.0,1.1.76,DUKE VINCENTIO,Nor do I think the man of safe discretion
58446,58447,Measure for measure,11.0,1.1.77,DUKE VINCENTIO,"That does affect it. Once more, fare you well."
58447,58448,Measure for measure,12.0,1.1.78,ANGELO,The heavens give safety to your purposes!
58448,58449,Measure for measure,13.0,1.1.79,ESCALUS,Lead forth and bring you back in happiness!
58449,58450,Measure for measure,14.0,1.1.80,DUKE,I thank you. Fare you well.
58450,58451,Measure for measure,14.0,,DUKE,Exit
58451,58452,Measure for measure,15.0,1.1.81,ESCALUS,"I shall desire you, sir, to give me leave"
58452,58453,Measure for measure,15.0,1.1.82,ESCALUS,"To have free speech with you, and it concerns me"
58453,58454,Measure for measure,15.0,1.1.83,ESCALUS,To look into the bottom of my place:
58454,58455,Measure for measure,15.0,1.1.84,ESCALUS,"A power I have, but of what strength and nature"
58455,58456,Measure for measure,15.0,1.1.85,ESCALUS,I am not yet instructed.
58456,58457,Measure for measure,16.0,1.1.86,ANGELO,"'Tis so with me. Let us withdraw together,"
58457,58458,Measure for measure,16.0,1.1.87,ANGELO,And we may soon our satisfaction have
58458,58459,Measure for measure,16.0,1.1.88,ANGELO,Touching that point.
58459,58460,Measure for measure,17.0,1.1.89,ESCALUS,I'll wait upon your honour.
58460,58461,Measure for measure,17.0,,ESCALUS,Exeunt
58461,58462,Measure for measure,17.0,,ESCALUS,SCENE II. A Street.
58462,58463,Measure for measure,17.0,,ESCALUS,Enter LUCIO and two Gentlemen
58463,58464,Measure for measure,1.0,1.2.1,LUCIO,If the duke with the other dukes come not to
58464,58465,Measure for measure,1.0,1.2.2,LUCIO,"composition with the King of Hungary, why then all"
58465,58466,Measure for measure,1.0,1.2.3,LUCIO,the dukes fall upon the king.
58466,58467,Measure for measure,2.0,1.2.4,First Gentleman,"Heaven grant us its peace, but not the King of"
58467,58468,Measure for measure,2.0,1.2.5,First Gentleman,Hungary's!
58468,58469,Measure for measure,3.0,1.2.6,Second Gentleman,Amen.
58469,58470,Measure for measure,4.0,1.2.7,LUCIO,"Thou concludest like the sanctimonious pirate, that"
58470,58471,Measure for measure,4.0,1.2.8,LUCIO,"went to sea with the Ten Commandments, but scraped"
58471,58472,Measure for measure,4.0,1.2.9,LUCIO,one out of the table.
58472,58473,Measure for measure,5.0,1.2.10,Second Gentleman,'Thou shalt not steal'?
58473,58474,Measure for measure,6.0,1.2.11,LUCIO,"Ay, that he razed."
58474,58475,Measure for measure,7.0,1.2.12,First Gentleman,"Why, 'twas a commandment to command the captain and"
58475,58476,Measure for measure,7.0,1.2.13,First Gentleman,all the rest from their functions: they put forth
58476,58477,Measure for measure,7.0,1.2.14,First Gentleman,"to steal. There's not a soldier of us all, that, in"
58477,58478,Measure for measure,7.0,1.2.15,First Gentleman,"the thanksgiving before meat, do relish the petition"
58478,58479,Measure for measure,7.0,1.2.16,First Gentleman,well that prays for peace.
