,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
70820,70821,Much Ado about nothing,12.0,3.4.23,HERO,God give me joy to wear it! for my heart is
70821,70822,Much Ado about nothing,12.0,3.4.24,HERO,exceeding heavy.
70822,70823,Much Ado about nothing,13.0,3.4.25,MARGARET,'Twill be heavier soon by the weight of a man.
70823,70824,Much Ado about nothing,14.0,3.4.26,HERO,Fie upon thee! art not ashamed?
70824,70825,Much Ado about nothing,15.0,3.4.27,MARGARET,"Of what, lady? of speaking honourably? Is not"
70825,70826,Much Ado about nothing,15.0,3.4.28,MARGARET,marriage honourable in a beggar? Is not your lord
70826,70827,Much Ado about nothing,15.0,3.4.29,MARGARET,honourable without marriage? I think you would have
70827,70828,Much Ado about nothing,15.0,3.4.30,MARGARET,"me say, 'saving your reverence, a husband:' and bad"
70828,70829,Much Ado about nothing,15.0,3.4.31,MARGARET,"thinking do not wrest true speaking, I'll offend"
70829,70830,Much Ado about nothing,15.0,3.4.32,MARGARET,nobody: is there any harm in 'the heavier for a
70830,70831,Much Ado about nothing,15.0,3.4.33,MARGARET,"husband'? None, I think, and it be the right husband"
70831,70832,Much Ado about nothing,15.0,3.4.34,MARGARET,"and the right wife, otherwise 'tis light, and not"
70832,70833,Much Ado about nothing,15.0,3.4.35,MARGARET,"heavy: ask my Lady Beatrice else, here she comes."
70833,70834,Much Ado about nothing,15.0,,MARGARET,Enter BEATRICE
70834,70835,Much Ado about nothing,16.0,3.4.36,HERO,"Good morrow, coz."
70835,70836,Much Ado about nothing,17.0,3.4.37,BEATRICE,"Good morrow, sweet Hero."
70836,70837,Much Ado about nothing,18.0,3.4.38,HERO,Why how now? do you speak in the sick tune?
70837,70838,Much Ado about nothing,19.0,3.4.39,BEATRICE,"I am out of all other tune, methinks."
70838,70839,Much Ado about nothing,20.0,3.4.40,MARGARET,"Clap's into 'Light o' love,' that goes without a"
70839,70840,Much Ado about nothing,20.0,3.4.41,MARGARET,"burden: do you sing it, and I'll dance it."
70840,70841,Much Ado about nothing,21.0,3.4.42,BEATRICE,"Ye light o' love, with your heels! then, if your"
70841,70842,Much Ado about nothing,21.0,3.4.43,BEATRICE,"husband have stables enough, you'll see he shall"
70842,70843,Much Ado about nothing,21.0,3.4.44,BEATRICE,lack no barns.
70843,70844,Much Ado about nothing,22.0,3.4.45,MARGARET,O illegitimate construction! I scorn that with my heels.
70844,70845,Much Ado about nothing,23.0,3.4.46,BEATRICE,"'Tis almost five o'clock, cousin, tis time you were"
70845,70846,Much Ado about nothing,23.0,3.4.47,BEATRICE,"ready. By my troth, I am exceeding ill: heigh-ho!"
70846,70847,Much Ado about nothing,24.0,3.4.48,MARGARET,"For a hawk, a horse, or a husband?"
70847,70848,Much Ado about nothing,25.0,3.4.49,BEATRICE,"For the letter that begins them all, H."
70848,70849,Much Ado about nothing,26.0,3.4.50,MARGARET,"Well, and you be not turned Turk, there's no more"
70849,70850,Much Ado about nothing,26.0,3.4.51,MARGARET,sailing by the star.
70850,70851,Much Ado about nothing,27.0,3.4.52,BEATRICE,"What means the fool, trow?"
70851,70852,Much Ado about nothing,28.0,3.4.53,MARGARET,"Nothing I, but God send every one their heart's desire!"
70852,70853,Much Ado about nothing,29.0,3.4.54,HERO,"These gloves the count sent me, they are an"
70853,70854,Much Ado about nothing,29.0,3.4.55,HERO,excellent perfume.
70854,70855,Much Ado about nothing,30.0,3.4.56,BEATRICE,"I am stuffed, cousin, I cannot smell."
70855,70856,Much Ado about nothing,31.0,3.4.57,MARGARET,"A maid, and stuffed! there's goodly catching of cold."
70856,70857,Much Ado about nothing,32.0,3.4.58,BEATRICE,"O, God help me! God help me! how long have you"
70857,70858,Much Ado about nothing,32.0,3.4.59,BEATRICE,professed apprehension?
70858,70859,Much Ado about nothing,33.0,3.4.60,MARGARET,Even since you left it. Doth not my wit become me rarely?
70859,70860,Much Ado about nothing,34.0,3.4.61,BEATRICE,"It is not seen enough, you should wear it in your"
70860,70861,Much Ado about nothing,34.0,3.4.62,BEATRICE,"cap. By my troth, I am sick."
70861,70862,Much Ado about nothing,35.0,3.4.63,MARGARET,"Get you some of this distilled Carduus Benedictus,"
70862,70863,Much Ado about nothing,35.0,3.4.64,MARGARET,and lay it to your heart: it is the only thing for a qualm.
70863,70864,Much Ado about nothing,36.0,3.4.65,HERO,There thou prickest her with a thistle.
70864,70865,Much Ado about nothing,37.0,3.4.66,BEATRICE,Benedictus! why Benedictus? you have some moral in
70865,70866,Much Ado about nothing,37.0,3.4.67,BEATRICE,this Benedictus.
70866,70867,Much Ado about nothing,38.0,3.4.68,MARGARET,"Moral! no, by my troth, I have no moral meaning, I"
70867,70868,Much Ado about nothing,38.0,3.4.69,MARGARET,"meant, plain holy-thistle. You may think perchance"
70868,70869,Much Ado about nothing,38.0,3.4.70,MARGARET,"that I think you are in love: nay, by'r lady, I am"
70869,70870,Much Ado about nothing,38.0,3.4.71,MARGARET,"not such a fool to think what I list, nor I list"
70870,70871,Much Ado about nothing,38.0,3.4.72,MARGARET,"not to think what I can, nor indeed I cannot think,"
70871,70872,Much Ado about nothing,38.0,3.4.73,MARGARET,"if I would think my heart out of thinking, that you"
70872,70873,Much Ado about nothing,38.0,3.4.74,MARGARET,are in love or that you will be in love or that you
70873,70874,Much Ado about nothing,38.0,3.4.75,MARGARET,"can be in love. Yet Benedick was such another, and"
70874,70875,Much Ado about nothing,38.0,3.4.76,MARGARET,now is he become a man: he swore he would never
70875,70876,Much Ado about nothing,38.0,3.4.77,MARGARET,"marry, and yet now, in despite of his heart, he eats"
70876,70877,Much Ado about nothing,38.0,3.4.78,MARGARET,his meat without grudging: and how you may be
70877,70878,Much Ado about nothing,38.0,3.4.79,MARGARET,"converted I know not, but methinks you look with"
70878,70879,Much Ado about nothing,38.0,3.4.80,MARGARET,your eyes as other women do.
70879,70880,Much Ado about nothing,39.0,3.4.81,BEATRICE,What pace is this that thy tongue keeps?
70880,70881,Much Ado about nothing,40.0,3.4.82,MARGARET,Not a false gallop.
70881,70882,Much Ado about nothing,40.0,,MARGARET,Re-enter URSULA
70882,70883,Much Ado about nothing,41.0,3.4.83,URSULA,"Madam, withdraw: the prince, the count, Signior"
70883,70884,Much Ado about nothing,41.0,3.4.84,URSULA,"Benedick, Don John, and all the gallants of the"
70884,70885,Much Ado about nothing,41.0,3.4.85,URSULA,"town, are come to fetch you to church."
70885,70886,Much Ado about nothing,42.0,3.4.86,HERO,"Help to dress me, good coz, good Meg, good Ursula."
70886,70887,Much Ado about nothing,42.0,,HERO,Exeunt
70887,70888,Much Ado about nothing,42.0,,HERO,SCENE V. Another room in LEONATO'S house.
70888,70889,Much Ado about nothing,42.0,,HERO,"Enter LEONATO, with DOGBERRY and VERGES"
70889,70890,Much Ado about nothing,1.0,3.5.1,LEONATO,"What would you with me, honest neighbour?"
70890,70891,Much Ado about nothing,2.0,3.5.2,DOGBERRY,"Marry, sir, I would have some confidence with you"
70891,70892,Much Ado about nothing,2.0,3.5.3,DOGBERRY,that decerns you nearly.
70892,70893,Much Ado about nothing,3.0,3.5.4,LEONATO,"Brief, I pray you, for you see it is a busy time with me."
70893,70894,Much Ado about nothing,4.0,3.5.5,DOGBERRY,"Marry, this it is, sir."
70894,70895,Much Ado about nothing,5.0,3.5.6,VERGES,"Yes, in truth it is, sir."
70895,70896,Much Ado about nothing,6.0,3.5.7,LEONATO,"What is it, my good friends?"
70896,70897,Much Ado about nothing,7.0,3.5.8,DOGBERRY,"Goodman Verges, sir, speaks a little off the"
70897,70898,Much Ado about nothing,7.0,3.5.9,DOGBERRY,"matter: an old man, sir, and his wits are not so"
70898,70899,Much Ado about nothing,7.0,3.5.10,DOGBERRY,"blunt as, God help, I would desire they were, but,"
70899,70900,Much Ado about nothing,7.0,3.5.11,DOGBERRY,"in faith, honest as the skin between his brows."
70900,70901,Much Ado about nothing,8.0,3.5.12,VERGES,"Yes, I thank God I am as honest as any man living"
70901,70902,Much Ado about nothing,8.0,3.5.13,VERGES,that is an old man and no honester than I.
70902,70903,Much Ado about nothing,9.0,3.5.14,DOGBERRY,"Comparisons are odorous: palabras, neighbour Verges."
70903,70904,Much Ado about nothing,10.0,3.5.15,LEONATO,"Neighbours, you are tedious."
70904,70905,Much Ado about nothing,11.0,3.5.16,DOGBERRY,"It pleases your worship to say so, but we are the"
70905,70906,Much Ado about nothing,11.0,3.5.17,DOGBERRY,"poor duke's officers, but truly, for mine own part,"
70906,70907,Much Ado about nothing,11.0,3.5.18,DOGBERRY,"if I were as tedious as a king, I could find it in"
70907,70908,Much Ado about nothing,11.0,3.5.19,DOGBERRY,my heart to bestow it all of your worship.
70908,70909,Much Ado about nothing,12.0,3.5.20,LEONATO,"All thy tediousness on me, ah?"
