,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
54100,54101,Loves Labours Lost,25.0,4.2.85,HOLOFERNES,"want no instruction, if their daughters be capable,"
54101,54102,Loves Labours Lost,25.0,4.2.86,HOLOFERNES,I will put it to them: but vir sapit qui pauca
54102,54103,Loves Labours Lost,25.0,4.2.87,HOLOFERNES,"loquitur, a soul feminine saluteth us."
54103,54104,Loves Labours Lost,25.0,,HOLOFERNES,Enter JAQUENETTA and COSTARD
54104,54105,Loves Labours Lost,26.0,4.2.88,JAQUENETTA,"God give you good morrow, master Parson."
54105,54106,Loves Labours Lost,27.0,4.2.89,HOLOFERNES,"Master Parson, quasi pers-on. An if one should be"
54106,54107,Loves Labours Lost,27.0,4.2.90,HOLOFERNES,"pierced, which is the one?"
54107,54108,Loves Labours Lost,28.0,4.2.91,COSTARD,"Marry, master schoolmaster, he that is likest to a hogshead."
54108,54109,Loves Labours Lost,29.0,4.2.92,HOLOFERNES,Piercing a hogshead! a good lustre of conceit in a
54109,54110,Loves Labours Lost,29.0,4.2.93,HOLOFERNES,"tuft of earth, fire enough for a flint, pearl enough"
54110,54111,Loves Labours Lost,29.0,4.2.94,HOLOFERNES,"for a swine: 'tis pretty, it is well."
54111,54112,Loves Labours Lost,30.0,4.2.95,JAQUENETTA,"Good master Parson, be so good as read me this"
