,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
56556,56557,macbeth,1.0,2.3.20,Porter,"a French hose: come in, tailor, here you may"
56557,56558,macbeth,1.0,2.3.21,Porter,roast your goose.
56558,56559,macbeth,1.0,,Porter,Knocking within
56559,56560,macbeth,1.0,2.3.22,Porter,"Knock,"
56560,56561,macbeth,1.0,2.3.23,Porter,"knock, never at quiet! What are you? But"
56561,56562,macbeth,1.0,2.3.24,Porter,this place is too cold for hell. I'll devil-porter
56562,56563,macbeth,1.0,2.3.25,Porter,it no further: I had thought to have let in
56563,56564,macbeth,1.0,2.3.26,Porter,some of all professions that go the primrose
56564,56565,macbeth,1.0,2.3.27,Porter,way to the everlasting bonfire.
56565,56566,macbeth,1.0,,Porter,Knocking within
56566,56567,macbeth,1.0,2.3.28,Porter,"Anon, anon! I pray you, remember the porter."
56567,56568,macbeth,1.0,,Porter,Opens the gate
56568,56569,macbeth,1.0,,Porter,Enter MACDUFF and LENNOX
56569,56570,macbeth,2.0,2.3.29,MACDUFF,"Was it so late, friend, ere you went to bed,"
56570,56571,macbeth,2.0,2.3.30,MACDUFF,That you do lie so late?
56571,56572,macbeth,3.0,2.3.31,Porter,"'Faith sir, we were carousing till the"
56572,56573,macbeth,3.0,2.3.32,Porter,"second cock: and drink, sir, is a great"
56573,56574,macbeth,3.0,2.3.33,Porter,provoker of three things.
56574,56575,macbeth,4.0,2.3.34,MACDUFF,What three things does drink especially provoke?
56575,56576,macbeth,5.0,2.3.35,Porter,"Marry, sir, nose-painting, sleep, and"
56576,56577,macbeth,5.0,2.3.36,Porter,"urine. Lechery, sir, it provokes, and unprovokes,"
56577,56578,macbeth,5.0,2.3.37,Porter,"it provokes the desire, but it takes"
56578,56579,macbeth,5.0,2.3.38,Porter,"away the performance: therefore, much drink"
56579,56580,macbeth,5.0,2.3.39,Porter,may be said to be an equivocator with lechery:
56580,56581,macbeth,5.0,2.3.40,Porter,"it makes him, and it mars him, it sets"
56581,56582,macbeth,5.0,2.3.41,Porter,"him on, and it takes him off, it persuades him,"
56582,56583,macbeth,5.0,2.3.42,Porter,"and disheartens him, makes him stand to, and"
56583,56584,macbeth,5.0,2.3.43,Porter,"not stand to, in conclusion, equivocates him"
