,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
12724,12725,Alls well that ends well,22.0,1.1.62,COUNTESS,"Under thy own life's key: be cheque'd for silence,"
12725,12726,Alls well that ends well,22.0,1.1.63,COUNTESS,"But never tax'd for speech. What heaven more will,"
12726,12727,Alls well that ends well,22.0,1.1.64,COUNTESS,"That thee may furnish and my prayers pluck down,"
12727,12728,Alls well that ends well,22.0,1.1.65,COUNTESS,"Fall on thy head! Farewell, my lord,"
12728,12729,Alls well that ends well,22.0,1.1.66,COUNTESS,"'Tis an unseason'd courtier, good my lord,"
12729,12730,Alls well that ends well,22.0,1.1.67,COUNTESS,Advise him.
12730,12731,Alls well that ends well,23.0,1.1.68,LAFEU,He cannot want the best
12731,12732,Alls well that ends well,23.0,1.1.69,LAFEU,That shall attend his love.
12732,12733,Alls well that ends well,24.0,1.1.70,COUNTESS,"Heaven bless him! Farewell, Bertram."
12733,12734,Alls well that ends well,24.0,,COUNTESS,Exit
12734,12735,Alls well that ends well,25.0,1.1.71,BERTRAM,[To HELENA]  The best wishes that can be forged in
12735,12736,Alls well that ends well,25.0,1.1.72,BERTRAM,your thoughts be servants to you! Be comfortable
12736,12737,Alls well that ends well,25.0,1.1.73,BERTRAM,"to my mother, your mistress, and make much of her."
12737,12738,Alls well that ends well,26.0,1.1.74,LAFEU,"Farewell, pretty lady: you must hold the credit of"
12738,12739,Alls well that ends well,26.0,1.1.75,LAFEU,your father.
12739,12740,Alls well that ends well,26.0,,LAFEU,Exeunt BERTRAM and LAFEU
12740,12741,Alls well that ends well,27.0,1.1.76,HELENA,"O, were that all! I think not on my father,"
12741,12742,Alls well that ends well,27.0,1.1.77,HELENA,And these great tears grace his remembrance more
12742,12743,Alls well that ends well,27.0,1.1.78,HELENA,Than those I shed for him. What was he like?
12743,12744,Alls well that ends well,27.0,1.1.79,HELENA,I have forgot him: my imagination
12744,12745,Alls well that ends well,27.0,1.1.80,HELENA,Carries no favour in't but Bertram's.
12745,12746,Alls well that ends well,27.0,1.1.81,HELENA,"I am undone: there is no living, none,"
12746,12747,Alls well that ends well,27.0,1.1.82,HELENA,If Bertram be away. 'Twere all one
12747,12748,Alls well that ends well,27.0,1.1.83,HELENA,That I should love a bright particular star
12748,12749,Alls well that ends well,27.0,1.1.84,HELENA,"And think to wed it, he is so above me:"
12749,12750,Alls well that ends well,27.0,1.1.85,HELENA,In his bright radiance and collateral light
12750,12751,Alls well that ends well,27.0,1.1.86,HELENA,"Must I be comforted, not in his sphere."
12751,12752,Alls well that ends well,27.0,1.1.87,HELENA,The ambition in my love thus plagues itself:
12752,12753,Alls well that ends well,27.0,1.1.88,HELENA,The hind that would be mated by the lion
12753,12754,Alls well that ends well,27.0,1.1.89,HELENA,"Must die for love. 'Twas pretty, though plague,"
12754,12755,Alls well that ends well,27.0,1.1.90,HELENA,"To see him every hour, to sit and draw"
12755,12756,Alls well that ends well,27.0,1.1.91,HELENA,"His arched brows, his hawking eye, his curls,"
12756,12757,Alls well that ends well,27.0,1.1.92,HELENA,"In our heart's table, heart too capable"
12757,12758,Alls well that ends well,27.0,1.1.93,HELENA,Of every line and trick of his sweet favour:
12758,12759,Alls well that ends well,27.0,1.1.94,HELENA,"But now he's gone, and my idolatrous fancy"
12759,12760,Alls well that ends well,27.0,1.1.95,HELENA,Must sanctify his reliques. Who comes here?
12760,12761,Alls well that ends well,27.0,,HELENA,Enter PAROLLES
12761,12762,Alls well that ends well,27.0,,HELENA,Aside
12762,12763,Alls well that ends well,27.0,1.1.96,HELENA,"One that goes with him: I love him for his sake,"
12763,12764,Alls well that ends well,27.0,1.1.97,HELENA,"And yet I know him a notorious liar,"
12764,12765,Alls well that ends well,27.0,1.1.98,HELENA,"Think him a great way fool, solely a coward,"
12765,12766,Alls well that ends well,27.0,1.1.99,HELENA,"Yet these fixed evils sit so fit in him,"
12766,12767,Alls well that ends well,27.0,1.1.100,HELENA,"That they take place, when virtue's steely bones"
12767,12768,Alls well that ends well,27.0,1.1.101,HELENA,"Look bleak i' the cold wind: withal, full oft we see"
12768,12769,Alls well that ends well,27.0,1.1.102,HELENA,Cold wisdom waiting on superfluous folly.
12769,12770,Alls well that ends well,28.0,1.1.103,PAROLLES,"Save you, fair queen!"
12770,12771,Alls well that ends well,29.0,1.1.104,HELENA,"And you, monarch!"
12771,12772,Alls well that ends well,30.0,1.1.105,PAROLLES,No.
12772,12773,Alls well that ends well,31.0,1.1.106,HELENA,And no.
12773,12774,Alls well that ends well,32.0,1.1.107,PAROLLES,Are you meditating on virginity?
12774,12775,Alls well that ends well,33.0,1.1.108,HELENA,Ay. You have some stain of soldier in you: let me
12775,12776,Alls well that ends well,33.0,1.1.109,HELENA,"ask you a question. Man is enemy to virginity, how"
12776,12777,Alls well that ends well,33.0,1.1.110,HELENA,may we barricado it against him?
12777,12778,Alls well that ends well,34.0,1.1.111,PAROLLES,Keep him out.
12778,12779,Alls well that ends well,35.0,1.1.112,HELENA,"But he assails, and our virginity, though valiant,"
12779,12780,Alls well that ends well,35.0,1.1.113,HELENA,in the defence yet is weak: unfold to us some
12780,12781,Alls well that ends well,35.0,1.1.114,HELENA,warlike resistance.
12781,12782,Alls well that ends well,36.0,1.1.115,PAROLLES,"There is none: man, sitting down before you, will"
12782,12783,Alls well that ends well,36.0,1.1.116,PAROLLES,undermine you and blow you up.
12783,12784,Alls well that ends well,37.0,1.1.117,HELENA,Bless our poor virginity from underminers and
12784,12785,Alls well that ends well,37.0,1.1.118,HELENA,"blowers up! Is there no military policy, how"
12785,12786,Alls well that ends well,37.0,1.1.119,HELENA,virgins might blow up men?
12786,12787,Alls well that ends well,38.0,1.1.120,PAROLLES,"Virginity being blown down, man will quicklier be"
12787,12788,Alls well that ends well,38.0,1.1.121,PAROLLES,"blown up: marry, in blowing him down again, with"
12788,12789,Alls well that ends well,38.0,1.1.122,PAROLLES,"the breach yourselves made, you lose your city. It"
12789,12790,Alls well that ends well,38.0,1.1.123,PAROLLES,is not politic in the commonwealth of nature to
12790,12791,Alls well that ends well,38.0,1.1.124,PAROLLES,preserve virginity. Loss of virginity is rational
12791,12792,Alls well that ends well,38.0,1.1.125,PAROLLES,increase and there was never virgin got till
12792,12793,Alls well that ends well,38.0,1.1.126,PAROLLES,virginity was first lost. That you were made of is
12793,12794,Alls well that ends well,38.0,1.1.127,PAROLLES,metal to make virgins. Virginity by being once lost
12794,12795,Alls well that ends well,38.0,1.1.128,PAROLLES,"may be ten times found, by being ever kept, it is"
12795,12796,Alls well that ends well,38.0,1.1.129,PAROLLES,"ever lost: 'tis too cold a companion, away with 't!"
12796,12797,Alls well that ends well,39.0,1.1.130,HELENA,"I will stand for 't a little, though therefore I die a virgin."
12797,12798,Alls well that ends well,40.0,1.1.131,PAROLLES,"There's little can be said in 't, 'tis against the"
12798,12799,Alls well that ends well,40.0,1.1.132,PAROLLES,"rule of nature. To speak on the part of virginity,"
12799,12800,Alls well that ends well,40.0,1.1.133,PAROLLES,"is to accuse your mothers, which is most infallible"
12800,12801,Alls well that ends well,40.0,1.1.134,PAROLLES,disobedience. He that hangs himself is a virgin:
12801,12802,Alls well that ends well,40.0,1.1.135,PAROLLES,virginity murders itself and should be buried in
12802,12803,Alls well that ends well,40.0,1.1.136,PAROLLES,"highways out of all sanctified limit, as a desperate"
12803,12804,Alls well that ends well,40.0,1.1.137,PAROLLES,"offendress against nature. Virginity breeds mites,"
12804,12805,Alls well that ends well,40.0,1.1.138,PAROLLES,"much like a cheese, consumes itself to the very"
12805,12806,Alls well that ends well,40.0,1.1.139,PAROLLES,"paring, and so dies with feeding his own stomach."
12806,12807,Alls well that ends well,40.0,1.1.140,PAROLLES,"Besides, virginity is peevish, proud, idle, made of"
12807,12808,Alls well that ends well,40.0,1.1.141,PAROLLES,"self-love, which is the most inhibited sin in the"
12808,12809,Alls well that ends well,40.0,1.1.142,PAROLLES,"canon. Keep it not, you cannot choose but loose"
12809,12810,Alls well that ends well,40.0,1.1.143,PAROLLES,by't: out with 't! within ten year it will make
12810,12811,Alls well that ends well,40.0,1.1.144,PAROLLES,"itself ten, which is a goodly increase, and the"
12811,12812,Alls well that ends well,40.0,1.1.145,PAROLLES,principal itself not much the worse: away with 't!
12812,12813,Alls well that ends well,41.0,1.1.146,HELENA,"How might one do, sir, to lose it to her own liking?"
12813,12814,Alls well that ends well,42.0,1.1.147,PAROLLES,"Let me see: marry, ill, to like him that ne'er it"
12814,12815,Alls well that ends well,42.0,1.1.148,PAROLLES,likes. 'Tis a commodity will lose the gloss with
12815,12816,Alls well that ends well,42.0,1.1.149,PAROLLES,"lying, the longer kept, the less worth: off with 't"
12816,12817,Alls well that ends well,42.0,1.1.150,PAROLLES,"while 'tis vendible, answer the time of request."
12817,12818,Alls well that ends well,42.0,1.1.151,PAROLLES,"Virginity, like an old courtier, wears her cap out"
12818,12819,Alls well that ends well,42.0,1.1.152,PAROLLES,"of fashion: richly suited, but unsuitable: just"
12819,12820,Alls well that ends well,42.0,1.1.153,PAROLLES,"like the brooch and the tooth-pick, which wear not"
12820,12821,Alls well that ends well,42.0,1.1.154,PAROLLES,now. Your date is better in your pie and your
12821,12822,Alls well that ends well,42.0,1.1.155,PAROLLES,"porridge than in your cheek, and your virginity,"
12822,12823,Alls well that ends well,42.0,1.1.156,PAROLLES,"your old virginity, is like one of our French"
12823,12824,Alls well that ends well,42.0,1.1.157,PAROLLES,"withered pears, it looks ill, it eats drily, marry,"
12824,12825,Alls well that ends well,42.0,1.1.158,PAROLLES,"'tis a withered pear, it was formerly better,"
12825,12826,Alls well that ends well,42.0,1.1.159,PAROLLES,"marry, yet 'tis a withered pear: will you anything with it?"
12826,12827,Alls well that ends well,43.0,1.1.160,HELENA,Not my virginity yet [         ]
12827,12828,Alls well that ends well,43.0,1.1.161,HELENA,"There shall your master have a thousand loves,"
12828,12829,Alls well that ends well,43.0,1.1.162,HELENA,"A mother and a mistress and a friend,"
12829,12830,Alls well that ends well,43.0,1.1.163,HELENA,"A phoenix, captain and an enemy,"
12830,12831,Alls well that ends well,43.0,1.1.164,HELENA,"A guide, a goddess, and a sovereign,"
12831,12832,Alls well that ends well,43.0,1.1.165,HELENA,"A counsellor, a traitress, and a dear,"
12832,12833,Alls well that ends well,43.0,1.1.166,HELENA,"His humble ambition, proud humility,"
12833,12834,Alls well that ends well,43.0,1.1.167,HELENA,"His jarring concord, and his discord dulcet,"
12834,12835,Alls well that ends well,43.0,1.1.168,HELENA,"His faith, his sweet disaster, with a world"
12835,12836,Alls well that ends well,43.0,1.1.169,HELENA,"Of pretty, fond, adoptious christendoms,"
12836,12837,Alls well that ends well,43.0,1.1.170,HELENA,That blinking Cupid gossips. Now shall he--
12837,12838,Alls well that ends well,43.0,1.1.171,HELENA,I know not what he shall. God send him well!
12838,12839,Alls well that ends well,43.0,1.1.172,HELENA,"The court's a learning place, and he is one--"
12839,12840,Alls well that ends well,44.0,1.1.173,PAROLLES,"What one, i' faith?"
12840,12841,Alls well that ends well,45.0,1.1.174,HELENA,That I wish well. 'Tis pity--
12841,12842,Alls well that ends well,46.0,1.1.175,PAROLLES,What's pity?
12842,12843,Alls well that ends well,47.0,1.1.176,HELENA,"That wishing well had not a body in't,"
12843,12844,Alls well that ends well,47.0,1.1.177,HELENA,"Which might be felt, that we, the poorer born,"
12844,12845,Alls well that ends well,47.0,1.1.178,HELENA,"Whose baser stars do shut us up in wishes,"
12845,12846,Alls well that ends well,47.0,1.1.179,HELENA,"Might with effects of them follow our friends,"
12846,12847,Alls well that ends well,47.0,1.1.180,HELENA,"And show what we alone must think, which never"
12847,12848,Alls well that ends well,47.0,1.1.181,HELENA,Return us thanks.
12848,12849,Alls well that ends well,47.0,,HELENA,Enter Page
12849,12850,Alls well that ends well,48.0,1.1.182,Page,"Monsieur Parolles, my lord calls for you."
12850,12851,Alls well that ends well,48.0,,Page,Exit
12851,12852,Alls well that ends well,49.0,1.1.183,PAROLLES,"Little Helen, farewell, if I can remember thee, I"
12852,12853,Alls well that ends well,49.0,1.1.184,PAROLLES,will think of thee at court.
12853,12854,Alls well that ends well,50.0,1.1.185,HELENA,"Monsieur Parolles, you were born under a charitable star."
12854,12855,Alls well that ends well,51.0,1.1.186,PAROLLES,"Under Mars, I."
12855,12856,Alls well that ends well,52.0,1.1.187,HELENA,"I especially think, under Mars."
12856,12857,Alls well that ends well,53.0,1.1.188,PAROLLES,Why under Mars?
12857,12858,Alls well that ends well,54.0,1.1.189,HELENA,The wars have so kept you under that you must needs
12858,12859,Alls well that ends well,54.0,1.1.190,HELENA,be born under Mars.
12859,12860,Alls well that ends well,55.0,1.1.191,PAROLLES,When he was predominant.
12860,12861,Alls well that ends well,56.0,1.1.192,HELENA,"When he was retrograde, I think, rather."
12861,12862,Alls well that ends well,57.0,1.1.193,PAROLLES,Why think you so?
