,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
52599,52600,King Lear,58.0,5.3.205,EDMUND,The wheel is come full circle: I am here.
52600,52601,King Lear,59.0,5.3.206,ALBANY,Methought thy very gait did prophesy
52601,52602,King Lear,59.0,5.3.207,ALBANY,A royal nobleness: I must embrace thee:
52602,52603,King Lear,59.0,5.3.208,ALBANY,"Let sorrow split my heart, if ever I"
52603,52604,King Lear,59.0,5.3.209,ALBANY,Did hate thee or thy father!
52604,52605,King Lear,60.0,5.3.210,EDGAR,"Worthy prince, I know't."
52605,52606,King Lear,61.0,5.3.211,ALBANY,Where have you hid yourself?
52606,52607,King Lear,61.0,5.3.212,ALBANY,How have you known the miseries of your father?
52607,52608,King Lear,62.0,5.3.213,EDGAR,"By nursing them, my lord. List a brief tale,"
52608,52609,King Lear,62.0,5.3.214,EDGAR,"And when 'tis told, O, that my heart would burst!"
52609,52610,King Lear,62.0,5.3.215,EDGAR,"The bloody proclamation to escape,"
52610,52611,King Lear,62.0,5.3.216,EDGAR,"That follow'd me so near,--O, our lives' sweetness!"
52611,52612,King Lear,62.0,5.3.217,EDGAR,That we the pain of death would hourly die
52612,52613,King Lear,62.0,5.3.218,EDGAR,Rather than die at once!--taught me to shift
52613,52614,King Lear,62.0,5.3.219,EDGAR,"Into a madman's rags, to assume a semblance"
52614,52615,King Lear,62.0,5.3.220,EDGAR,That very dogs disdain'd: and in this habit
52615,52616,King Lear,62.0,5.3.221,EDGAR,"Met I my father with his bleeding rings,"
52616,52617,King Lear,62.0,5.3.222,EDGAR,"Their precious stones new lost: became his guide,"
52617,52618,King Lear,62.0,5.3.223,EDGAR,"Led him, begg'd for him, saved him from despair,"
52618,52619,King Lear,62.0,5.3.224,EDGAR,"Never,--O fault!--reveal'd myself unto him,"
52619,52620,King Lear,62.0,5.3.225,EDGAR,"Until some half-hour past, when I was arm'd:"
52620,52621,King Lear,62.0,5.3.226,EDGAR,"Not sure, though hoping, of this good success,"
52621,52622,King Lear,62.0,5.3.227,EDGAR,"I ask'd his blessing, and from first to last"
52622,52623,King Lear,62.0,5.3.228,EDGAR,"Told him my pilgrimage: but his flaw'd heart,"
52623,52624,King Lear,62.0,5.3.229,EDGAR,"Alack, too weak the conflict to support!"
52624,52625,King Lear,62.0,5.3.230,EDGAR,"'Twixt two extremes of passion, joy and grief,"
52625,52626,King Lear,62.0,5.3.231,EDGAR,Burst smilingly.
52626,52627,King Lear,63.0,5.3.232,EDMUND,"This speech of yours hath moved me,"
52627,52628,King Lear,63.0,5.3.233,EDMUND,"And shall perchance do good: but speak you on,"
52628,52629,King Lear,63.0,5.3.234,EDMUND,You look as you had something more to say.
52629,52630,King Lear,64.0,5.3.235,ALBANY,"If there be more, more woeful, hold it in,"
52630,52631,King Lear,64.0,5.3.236,ALBANY,"For I am almost ready to dissolve,"
52631,52632,King Lear,64.0,5.3.237,ALBANY,Hearing of this.
52632,52633,King Lear,65.0,5.3.238,EDGAR,This would have seem'd a period
52633,52634,King Lear,65.0,5.3.239,EDGAR,"To such as love not sorrow, but another,"
52634,52635,King Lear,65.0,5.3.240,EDGAR,"To amplify too much, would make much more,"
52635,52636,King Lear,65.0,5.3.241,EDGAR,And top extremity.
52636,52637,King Lear,65.0,5.3.242,EDGAR,"Whilst I was big in clamour came there in a man,"
