,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
88162,88163,Romeo and Juliet,7.0,5.1.51,ROMEO,"Were thinly scatter'd, to make up a show."
88163,88164,Romeo and Juliet,7.0,5.1.52,ROMEO,"Noting this penury, to myself I said"
88164,88165,Romeo and Juliet,7.0,5.1.53,ROMEO,"'An if a man did need a poison now,"
88165,88166,Romeo and Juliet,7.0,5.1.54,ROMEO,"Whose sale is present death in Mantua,"
88166,88167,Romeo and Juliet,7.0,5.1.55,ROMEO,Here lives a caitiff wretch would sell it him.'
88167,88168,Romeo and Juliet,7.0,5.1.56,ROMEO,"O, this same thought did but forerun my need,"
88168,88169,Romeo and Juliet,7.0,5.1.57,ROMEO,And this same needy man must sell it me.
88169,88170,Romeo and Juliet,7.0,5.1.58,ROMEO,"As I remember, this should be the house."
88170,88171,Romeo and Juliet,7.0,5.1.59,ROMEO,"Being holiday, the beggar's shop is shut."
88171,88172,Romeo and Juliet,7.0,5.1.60,ROMEO,"What, ho! apothecary!"
88172,88173,Romeo and Juliet,7.0,,ROMEO,Enter Apothecary
88173,88174,Romeo and Juliet,8.0,5.1.61,Apothecary,Who calls so loud?
88174,88175,Romeo and Juliet,9.0,5.1.62,ROMEO,"Come hither, man. I see that thou art poor:"
88175,88176,Romeo and Juliet,9.0,5.1.63,ROMEO,"Hold, there is forty ducats: let me have"
88176,88177,Romeo and Juliet,9.0,5.1.64,ROMEO,"A dram of poison, such soon-speeding gear"
88177,88178,Romeo and Juliet,9.0,5.1.65,ROMEO,As will disperse itself through all the veins
88178,88179,Romeo and Juliet,9.0,5.1.66,ROMEO,That the life-weary taker may fall dead
88179,88180,Romeo and Juliet,9.0,5.1.67,ROMEO,And that the trunk may be discharged of breath
88180,88181,Romeo and Juliet,9.0,5.1.68,ROMEO,As violently as hasty powder fired
88181,88182,Romeo and Juliet,9.0,5.1.69,ROMEO,Doth hurry from the fatal cannon's womb.
88182,88183,Romeo and Juliet,10.0,5.1.70,Apothecary,"Such mortal drugs I have, but Mantua's law"
88183,88184,Romeo and Juliet,10.0,5.1.71,Apothecary,Is death to any he that utters them.
88184,88185,Romeo and Juliet,11.0,5.1.72,ROMEO,"Art thou so bare and full of wretchedness,"
88185,88186,Romeo and Juliet,11.0,5.1.73,ROMEO,"And fear'st to die? famine is in thy cheeks,"
88186,88187,Romeo and Juliet,11.0,5.1.74,ROMEO,"Need and oppression starveth in thine eyes,"
88187,88188,Romeo and Juliet,11.0,5.1.75,ROMEO,"Contempt and beggary hangs upon thy back,"
88188,88189,Romeo and Juliet,11.0,5.1.76,ROMEO,"The world is not thy friend nor the world's law,"
88189,88190,Romeo and Juliet,11.0,5.1.77,ROMEO,"The world affords no law to make thee rich,"
88190,88191,Romeo and Juliet,11.0,5.1.78,ROMEO,"Then be not poor, but break it, and take this."
88191,88192,Romeo and Juliet,12.0,5.1.79,Apothecary,"My poverty, but not my will, consents."
88192,88193,Romeo and Juliet,13.0,5.1.80,ROMEO,"I pay thy poverty, and not thy will."
88193,88194,Romeo and Juliet,14.0,5.1.81,Apothecary,"Put this in any liquid thing you will,"
88194,88195,Romeo and Juliet,14.0,5.1.82,Apothecary,"And drink it off, and, if you had the strength"
88195,88196,Romeo and Juliet,14.0,5.1.83,Apothecary,"Of twenty men, it would dispatch you straight."
88196,88197,Romeo and Juliet,15.0,5.1.84,ROMEO,"There is thy gold, worse poison to men's souls,"
88197,88198,Romeo and Juliet,15.0,5.1.85,ROMEO,"Doing more murders in this loathsome world,"
88198,88199,Romeo and Juliet,15.0,5.1.86,ROMEO,Than these poor compounds that thou mayst not sell.
88199,88200,Romeo and Juliet,15.0,5.1.87,ROMEO,"I sell thee poison, thou hast sold me none."
88200,88201,Romeo and Juliet,15.0,5.1.88,ROMEO,"Farewell: buy food, and get thyself in flesh."
88201,88202,Romeo and Juliet,15.0,5.1.89,ROMEO,"Come, cordial and not poison, go with me"
88202,88203,Romeo and Juliet,15.0,5.1.90,ROMEO,"To Juliet's grave, for there must I use thee."
88203,88204,Romeo and Juliet,15.0,,ROMEO,Exeunt
88204,88205,Romeo and Juliet,15.0,,ROMEO,SCENE II. Friar Laurence's cell.
88205,88206,Romeo and Juliet,15.0,,ROMEO,Enter FRIAR JOHN
88206,88207,Romeo and Juliet,1.0,5.2.1,FRIAR JOHN,"Holy Franciscan friar! brother, ho!"
88207,88208,Romeo and Juliet,1.0,,FRIAR JOHN,Enter FRIAR LAURENCE
88208,88209,Romeo and Juliet,2.0,5.2.2,FRIAR LAURENCE,This same should be the voice of Friar John.
88209,88210,Romeo and Juliet,2.0,5.2.3,FRIAR LAURENCE,Welcome from Mantua: what says Romeo?
88210,88211,Romeo and Juliet,2.0,5.2.4,FRIAR LAURENCE,"Or, if his mind be writ, give me his letter."
88211,88212,Romeo and Juliet,3.0,5.2.5,FRIAR JOHN,Going to find a bare-foot brother out
88212,88213,Romeo and Juliet,3.0,5.2.6,FRIAR JOHN,"One of our order, to associate me,"
88213,88214,Romeo and Juliet,3.0,5.2.7,FRIAR JOHN,"Here in this city visiting the sick,"
88214,88215,Romeo and Juliet,3.0,5.2.8,FRIAR JOHN,"And finding him, the searchers of the town,"
88215,88216,Romeo and Juliet,3.0,5.2.9,FRIAR JOHN,Suspecting that we both were in a house
88216,88217,Romeo and Juliet,3.0,5.2.10,FRIAR JOHN,"Where the infectious pestilence did reign,"
88217,88218,Romeo and Juliet,3.0,5.2.11,FRIAR JOHN,"Seal'd up the doors, and would not let us forth,"
88218,88219,Romeo and Juliet,3.0,5.2.12,FRIAR JOHN,So that my speed to Mantua there was stay'd.
88219,88220,Romeo and Juliet,4.0,5.2.13,FRIAR LAURENCE,"Who bare my letter, then, to Romeo?"
88220,88221,Romeo and Juliet,5.0,5.2.14,FRIAR JOHN,"I could not send it,--here it is again,--"
88221,88222,Romeo and Juliet,5.0,5.2.15,FRIAR JOHN,"Nor get a messenger to bring it thee,"
88222,88223,Romeo and Juliet,5.0,5.2.16,FRIAR JOHN,So fearful were they of infection.
88223,88224,Romeo and Juliet,6.0,5.2.17,FRIAR LAURENCE,"Unhappy fortune! by my brotherhood,"
88224,88225,Romeo and Juliet,6.0,5.2.18,FRIAR LAURENCE,The letter was not nice but full of charge
88225,88226,Romeo and Juliet,6.0,5.2.19,FRIAR LAURENCE,"Of dear import, and the neglecting it"
88226,88227,Romeo and Juliet,6.0,5.2.20,FRIAR LAURENCE,"May do much danger. Friar John, go hence,"
88227,88228,Romeo and Juliet,6.0,5.2.21,FRIAR LAURENCE,"Get me an iron crow, and bring it straight"
88228,88229,Romeo and Juliet,6.0,5.2.22,FRIAR LAURENCE,Unto my cell.
